"MARKET_GROUP_C","POV_CODE_C","QUOTED_RATE_C","ENTRY_HOTEL_CODE_R","STATE_R","GUEST_COUNTRY_R","PACE_CATEGORY_R","REVENUE_USD_R","Guest_Country_H","Gender_H","Age_Range_H","Language_H","Likelihood_Recommend_H","Overall_Sat_H","Guest_Room_H","Tranquility_H","Condition_Hotel_H","Customer_SVC_H","Staff_Cared_H","Internet_Sat_H","Property_ID_PL","Hotel.Name.Short_PL","Award.Category_PL","City_PL","Country_PL","Ops.Region_PL","Property.Latitude_PL","Property.Longitude_PL","Currency_PL","Dom.Int.l_PL","Club.Type_PL","Region_PL","Category_PL","Type_PL","Class_PL","Location_PL","Relationship_PL","GP_Tier","Booking_Channel","NPS_Type"
"DISCOUNT","BUSINESS",160.65,"OMARO","CA","UNITED STATES","15-21 Days",803.25,"USA","Male","36-45","English",10,9,8,9,8,9,10,10,3494,"HH Morristown",2,"Morristown","United States","Americas",40.79242,-74.433521,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Owned","Gold","Global Contact Center","Promoter"
"VOLUME","BUSINESS",224,"OMGDS","IL","UNITED STATES","22-30 Days",672,"USA","Female","36-45","English",9,9,9,9,9,9,8,NA,3496,"HH Pleasanton",2,"Pleasanton","United States","Americas",37.689132,-121.900912,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Gold","Electronic Distribution","Promoter"
"RACK","BUSINESS",159,"OMGDS","MS","UNITED STATES","4-7 Days",477,"USA","Female","46-55","English",10,10,10,10,10,10,10,10,3710,"HP Jackson",1,"Ridgeland","United States","Americas",32.437012,-90.145457,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","GOLD","Electronic Distribution","Promoter"
"CONVENTION","BUSINESS",159,"PHLXP","PA","UNITED STATES","22-30 Days",318,"USA",NA,"46-55","English",10,10,10,NA,10,10,NA,NA,3498,"HH Plymouth Meeting",2,"East Norriton","United States","Americas",40.138185,-75.304625,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Owned",NA,"Hotel","Promoter"
"RACK","BUSINESS",179,"OMGDS","CA","UNITED STATES","4-7 Days",179,"USA","Male","46-55","English",1,4,7,8,8,10,NA,9,3604,"HP Austin Arboretum",2,"Austin","United States","Americas",30.384824,-97.737491,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Diamond","Electronic Distribution","Detractor"
"RACK","LEISURE",79.2,"OMGDS","GA","UNITED STATES","0-3 Days",79.2,"USA","Male","18-25","English",10,10,10,9,10,10,10,NA,3694,"HP Atlanta Perimeter",1,"Atlanta","United States","Americas",33.929352,-84.356719,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised",NA,"Electronic Distribution","Promoter"
"DISCOUNT","LEISURE",98,"SAFZS","TX","UNITED STATES","0-3 Days",196,"USA","Male","56-65","English",8,8,8,8,8,8,8,NA,3488,"HP Santa Fe",2,"Sante Fe","United States","Americas",35.63298,-106.019311,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","GOLD","Hotel","Passive"
"OTHER","BUSINESS",72.98,"OMGDS",NA,NA,"22-30 Days",72.98,"USA","Female","56-65","English",10,10,10,NA,10,10,NA,NA,3514,"HP Denver Airport",2,"Aurora","United States","Americas",39.772246,-104.798281,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Owned","GOLD","Electronic Distribution","Promoter"
"RACK","BUSINESS",89,"OMGDS","MN","UNITED STATES","4-7 Days",356,"USA","Female","36-45","English",8,8,8,9,8,9,9,10,3590,"HP Eden Prairie",2,"Eden Prairie","United States","Americas",44.862281,-93.421088,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised",NA,"Electronic Distribution","Passive"
"RACK","LEISURE",139,"OMGDS","TX","UNITED STATES","22-30 Days",278,"USA","Male","26-35","English",10,10,10,NA,10,10,NA,NA,3579,"HP Dallas Grapevine",1,"Grapevine","United States","Americas",32.961023,-97.046528,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Franchised",NA,"Electronic Distribution","Promoter"
"DISCOUNT","BUSINESS",98.54,"OMGDS","CA","UNITED STATES","0-3 Days",98.54,"USA","Female","26-35","English",10,10,10,10,10,10,10,NA,3010,"HR Washington",4,"Washington","United States","Americas",38.895137,-77.011447,"USD","Domestic","Regency Club","Americas","Full Service","Convention","Upper Upscale Class","Urban","Managed",NA,"Electronic Distribution","Promoter"
"CONVENTION","BUSINESS",179,"OMGDS","DE","UNITED STATES","90+ Days",358,"USA","Male","26-35","English",9,9,8,8,9,9,8,8,3422,"HR Jacksonville",2,"Jacksonville","United States","Americas",30.324201,-81.65534,"USD","Domestic","Regency Club","Americas","Full Service","Convention","Upper Upscale Class","Urban","Managed",NA,"Electronic Distribution","Promoter"
"CONVENTION","BUSINESS",184,"OMGDS","VA","UNITED STATES","22-30 Days",184,"USA","Male","56-65","English",9,9,9,9,9,10,10,8,3010,"HR Washington",4,"Washington","United States","Americas",38.895137,-77.011447,"USD","Domestic","Regency Club","Americas","Full Service","Convention","Upper Upscale Class","Urban","Managed","Gold","Electronic Distribution","Promoter"
"VOLUME","BUSINESS",111,"OMGDS",NA,NA,"15-21 Days",555,"USA","Male","46-55","English",4,4,4,9,9,9,8,9,3870,"HP Sugar Land",2,"Sugar Land","United States","Americas",29.602398,-95.624035,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Managed",NA,"Electronic Distribution","Detractor"
"VOLUME","BUSINESS",83,"OMGDS","MA","UNITED STATES","8-14 Days",83,"USA","Prefer not to answer","46-55","English",7,6,6,NA,6,5,NA,NA,3502,"HP Albuquerque Airport",2,"Albuquerque","United States","Americas",35.047671,-106.63362,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Owned","Platinum","Electronic Distribution","Passive"
"VOLUME","BUSINESS",99,"OMGDS","FL","UNITED STATES","8-14 Days",198,"USA","Female","46-55","English",10,10,7,NA,10,10,NA,NA,19001,"HP Daytona Beach",3,"Daytona Beach Shores","United States","Americas",29.16142,-80.974109,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Resort","Franchised","Gold","Electronic Distribution","Promoter"
